,Word,Relative_Frequency,User_Created,Times_Selected,Frequency
0,the,1.0,,0,"1,086,322,084"
1,and,0.524925431,,0,"570,238,088"
2,to,0.522060324,,0,"567,125,659"
3,of,0.47924654,,0,"520,616,100"
4,a,0.414995492,,0,"450,818,768"
5,in,0.319605611,,0,"347,194,633"
6,is,0.228643211,,0,"248,380,169"
7,that,0.206678883,,0,"224,519,835"
8,for,0.191829297,,0,"208,388,402"
9,I,0.16814098100000002,,0,"182,655,261"
10,you,0.167954871,,0,"182,453,085"
11,it,0.164625551,,0,"178,836,372"
12,with,0.14371384199999998,,0,"156,119,520"
13,on,0.132987578,True,2,"144,467,343"
14,as,0.121096685,,0,"131,550,003"
15,are,0.117076557,,0,"127,182,849"
16,be,0.111692511,,0,"121,334,041"
17,this,0.108911876,,0,"118,313,376"
18,was,0.093229195,,0,"101,276,933"
19,have,0.091128626,,0,"98,995,039"
20,or,0.084098436,,0,"91,357,988"
21,at,0.081914819,,0,"88,985,877"
22,not,0.080347597,,0,"87,283,369"
23,your,0.079876543,,0,"86,771,653"
24,from,0.078075848,,0,"84,815,518"
25,we,0.074827524,,0,"81,286,792"
26,by,0.074187949,,0,"80,592,007"
27,will,0.069305357,,0,"75,287,940"
28,can,0.06754925,,0,"73,380,242"
29,but,0.067276342,,0,"73,083,776"
30,they,0.066757062,,0,"72,519,671"
31,an,0.065117904,,0,"70,739,017"
32,he,0.061907877,,0,"67,251,894"
33,all,0.056608469,,0,"61,495,030"
34,has,0.051622511,,0,"56,078,674"
35,if,0.051470266,,0,"55,913,287"
36,their,0.051079905,,0,"55,489,229"
37,one,0.04963829,,0,"53,923,171"
38,do,0.049595191,,0,"53,876,351"
39,more,0.048662669000000006,,0,"52,863,332"
40,n't,0.04795808,,0,"52,097,921"
41,my,0.04792925,,0,"52,066,603"
42,his,0.046902488,,0,"50,951,208"
43,so,0.045302886,,0,"49,213,525"
44,there,0.043674591,,0,"47,444,673"
45,about,0.042983225,,0,"46,693,627"
46,which,0.042105039,,0,"45,739,634"
47,when,0.040990189,,0,"44,528,548"
48,what,0.040247117,,0,"43,721,332"
49,out,0.038021797,,0,"41,303,918"
50,up,0.037618345,,0,"40,865,639"
51,our,0.037509548,,0,"40,747,450"
52,who,0.036373994,,0,"39,513,873"
53,also,0.035971369,,0,"39,076,493"
54,had,0.034594096,,0,"37,580,331"
55,time,0.034443594,,0,"37,416,837"
56,some,0.033720519,,0,"36,631,344"
57,would,0.033395366,,0,"36,278,124"
58,were,0.031718228,,0,"34,456,212"
59,like,0.031432842999999995,,0,"34,146,192"
60,been,0.03133829,,0,"34,043,476"
61,just,0.031113402,,0,"33,799,176"
62,her,0.031075526000000006,,0,"33,758,030"
63,new,0.030710406000000006,,0,"33,361,392"
64,other,0.030325255,,0,"32,942,994"
65,them,0.029554374,,0,"32,105,569"
66,she,0.028390747,,0,"30,841,495"
67,people,0.028003732000000003,,0,"30,421,073"
68,these,0.027934961,,0,"30,346,365"
69,no,0.027555759,,0,"29,934,430"
70,get,0.027478754,,0,"29,850,777"
71,how,0.027261747000000003,,0,"29,615,038"
72,me,0.026469619,,0,"28,754,532"
73,into,0.026366573,,0,"28,642,590"
74,than,0.025435996,,0,"27,631,684"
75,only,0.024425091,,0,"26,533,516"
76,its,0.024200355,,0,"26,289,380"
77,most,0.023967299,,0,"26,036,206"
78,may,0.023668058,,0,"25,711,134"
79,any,0.023665703,,0,"25,708,576"
80,many,0.022870087,,0,"24,844,281"
81,make,0.022454059,,0,"24,392,340"
82,then,0.022372982000000003,,0,"24,304,264"
83,well,0.022111565,,0,"24,020,281"
84,first,0.022001231,,0,"23,900,423"
85,very,0.021833832,,0,"23,718,574"
86,over,0.021571393,,0,"23,433,481"
87,now,0.021419108,,0,"23,268,050"
88,could,0.020926017,,0,"22,732,394"
89,after,0.020771216,,0,"22,564,231"
90,even,0.020478353,,0,"22,246,087"
91,because,0.019861197,,0,"21,575,657"
92,us,0.019504922,,0,"21,188,627"
93,said,0.019440199,,0,"21,118,317"
94,good,0.019193624,,0,"20,850,458"
95,way,0.019104049,,0,"20,753,150"
96,two,0.018977396,,0,"20,615,564"
97,should,0.018745961,,0,"20,364,151"
98,work,0.01868177,,0,"20,294,419"
99,use,0.018603318,,0,"20,209,195"
100,through,0.017911396,,0,"19,457,545"
101,see,0.017725508,,0,"19,255,611"
102,know,0.017153031000000003,,0,"18,633,716"
103,did,0.017138123999999998,,0,"18,617,523"
104,much,0.017109729,,0,"18,586,676"
105,where,0.017055656000000002,,0,"18,527,936"
106,years,0.01700727,,0,"18,475,373"
107,need,0.016709615,,0,"18,152,024"
108,him,0.016694353000000002,,0,"18,135,444"
109,back,0.016649114,,0,"18,086,300"
110,such,0.016571871999999998,,0,"18,002,390"
111,those,0.016012402,,0,"17,394,626"
112,being,0.015820984,,0,"17,186,684"
113,day,0.015784657,,0,"17,147,221"
114,take,0.015696237,,0,"17,051,169"
115,while,0.015637653,,0,"16,987,528"
116,here,0.01487365,,0,"16,157,575"
117,before,0.014830574,,0,"16,110,780"
118,does,0.014751169,,0,"16,024,521"
119,great,0.014547011,,0,"15,802,739"
120,year,0.014504413,,0,"15,756,464"
121,go,0.014029396,,0,"15,240,443"
122,help,0.013996321,,0,"15,204,513"
123,want,0.013993133,,0,"15,201,049"
124,really,0.01372138,,0,"14,905,838"
125,think,0.013374359,,0,"14,528,861"
126,best,0.013355354,,0,"14,508,216"
127,life,0.013328099,,0,"14,478,608"
128,each,0.013312511,,0,"14,461,675"
129,made,0.013259195,,0,"14,403,756"
130,right,0.013111642,,0,"14,243,466"
131,world,0.012991491,,0,"14,112,944"
132,business,0.012616545,,0,"13,705,631"
133,home,0.012599991,,0,"13,687,649"
134,own,0.012516464,,0,"13,596,911"
135,down,0.012467967,,0,"13,544,228"
136,still,0.01240211,,0,"13,472,686"
137,used,0.012328095,,0,"13,392,282"
138,find,0.012320723,,0,"13,384,274"
139,around,0.012167874,,0,"13,218,230"
140,going,0.011898502,,0,"12,925,606"
141,every,0.011859063,,0,"12,882,762"
142,both,0.011679594,,0,"12,687,801"
143,last,0.011595968,,0,"12,596,956"
144,off,0.011569725,,0,"12,568,448"
145,too,0.011479808,,0,"12,470,769"
146,same,0.011432415,,0,"12,419,285"
147,information,0.011075365,,0,"12,031,414"
148,little,0.010766303,,0,"11,695,673"
149,another,0.010623774,,0,"11,540,840"
150,look,0.010524255,,0,"11,432,731"
151,few,0.010495516000000002,,0,"11,401,511"
152,long,0.010369788,,0,"11,264,930"
153,part,0.010280685,,0,"11,168,135"
154,since,0.010258405,,0,"11,143,932"
155,things,0.010252806,,0,"11,137,850"
156,place,0.010245018,,0,"11,129,389"
157,am,0.010038642,,0,"10,905,198"
158,between,0.009960935,,0,"10,820,784"
159,during,0.009949255,,0,"10,808,095"
160,different,0.009939053,,0,"10,797,013"
161,must,0.009841122,,0,"10,690,628"
162,come,0.009817009,,0,"10,664,434"
163,using,0.009654397,,0,"10,487,785"
164,however,0.009645115,,0,"10,477,701"
165,without,0.0095512,,0,"10,375,679"
166,high,0.00945611,,0,"10,272,381"
167,why,0.009426274,,0,"10,239,970"
168,something,0.009425096,,0,"10,238,690"
169,online,0.009381351,,0,"10,191,169"
170,system,0.009308803,,0,"10,112,358"
171,better,0.009279119,,0,"10,080,112"
172,three,0.009269696,,0,"10,069,875"
173,never,0.009242471,,0,"10,040,300"
174,always,0.00922474,,0,"10,021,039"
175,love,0.009185369,,0,"9,978,269"
176,say,0.009150194,,0,"9,940,058"
177,might,0.008982671,,0,"9,758,074"
178,next,0.008586241,,0,"9,327,423"
